cluster_id,group,cluster_size,image,representative,score_to_representative
stroller_reviewed_window10_000003,stroller_reviewed,3,images/03177_1784451879356834_0.jpg,images/03178_1784451879538835_0.jpg,0.99730551
stroller_reviewed_window10_000003,stroller_reviewed,3,images/03178_1784451879538835_0.jpg,images/03178_1784451879538835_0.jpg,1.00000000
stroller_reviewed_window10_000003,stroller_reviewed,3,images/03179_1784451879708836_0.jpg,images/03178_1784451879538835_0.jpg,0.99763453
stroller_reviewed_window10_000004,stroller_reviewed,3,images/06293_1784525895749001_0.jpg,images/06295_1784525895962003_0.jpg,0.99559700
stroller_reviewed_window10_000004,stroller_reviewed,3,images/06294_1784525895911002_0.jpg,images/06295_1784525895962003_0.jpg,0.99811918
stroller_reviewed_window10_000004,stroller_reviewed,3,images/06295_1784525895962003_0.jpg,images/06295_1784525895962003_0.jpg,1.00000000
stroller_reviewed_window10_000005,stroller_reviewed,3,images/02115_1784206668225069_0.jpg,images/02117_1784206698323075_0.jpg,0.99329984
stroller_reviewed_window10_000005,stroller_reviewed,3,images/02117_1784206698323075_0.jpg,images/02117_1784206698323075_0.jpg,1.00000000
stroller_reviewed_window10_000005,stroller_reviewed,3,images/02118_1784206698481077_0.jpg,images/02117_1784206698323075_0.jpg,0.99928576
stroller_reviewed_window10_000006,stroller_reviewed,3,images/02892_1784442095547903_0.jpg,images/02893_1784442095846904_0.jpg,0.99573207
stroller_reviewed_window10_000006,stroller_reviewed,3,images/02893_1784442095846904_0.jpg,images/02893_1784442095846904_0.jpg,1.00000000
stroller_reviewed_window10_000006,stroller_reviewed,3,images/02894_1784442095949905_0.jpg,images/02893_1784442095846904_0.jpg,0.99680001
stroller_reviewed_window10_000007,stroller_reviewed,3,images/03938_1784514456789509_0.jpg,images/03945_1784514577023511_0.jpg,0.99500138
stroller_reviewed_window10_000007,stroller_reviewed,3,images/03945_1784514577023511_0.jpg,images/03945_1784514577023511_0.jpg,1.00000000
stroller_reviewed_window10_000007,stroller_reviewed,3,images/03946_1784514637193513_0.jpg,images/03945_1784514577023511_0.jpg,0.99613321
stroller_reviewed_window10_000008,stroller_reviewed,3,images/04011_1784516878107551_0.jpg,images/04013_1784516998443553_0.jpg,0.99452329
stroller_reviewed_window10_000008,stroller_reviewed,3,images/04012_1784516938278552_0.jpg,images/04013_1784516998443553_0.jpg,0.99522030
stroller_reviewed_window10_000008,stroller_reviewed,3,images/04013_1784516998443553_0.jpg,images/04013_1784516998443553_0.jpg,1.00000000
stroller_reviewed_window10_000009,stroller_reviewed,3,images/02785_1784438085492132_0.jpg,images/02786_1784438085933133_0.jpg,0.99762958
stroller_reviewed_window10_000009,stroller_reviewed,3,images/02786_1784438085933133_0.jpg,images/02786_1784438085933133_0.jpg,1.00000000
stroller_reviewed_window10_000009,stroller_reviewed,3,images/02788_1784438115563138_0.jpg,images/02786_1784438085933133_0.jpg,0.99050999
stroller_reviewed_window10_000010,stroller_reviewed,3,images/01418_1783825026109990_0.jpg,images/01420_1783825056203994_0.jpg,0.99328518
stroller_reviewed_window10_000010,stroller_reviewed,3,images/01420_1783825056203994_0.jpg,images/01420_1783825056203994_0.jpg,1.00000000
stroller_reviewed_window10_000010,stroller_reviewed,3,images/01421_1783825071221996_0.jpg,images/01420_1783825056203994_0.jpg,0.99375224
stroller_reviewed_window10_000011,stroller_reviewed,3,images/08485_1784530554204773_0.jpg,images/08618_1784530870351778_0.jpg,0.99038482
stroller_reviewed_window10_000011,stroller_reviewed,3,images/08503_1784530614373775_0.jpg,images/08618_1784530870351778_0.jpg,0.99189508
stroller_reviewed_window10_000011,stroller_reviewed,3,images/08618_1784530870351778_0.jpg,images/08618_1784530870351778_0.jpg,1.00000000
stroller_reviewed_window10_000012,stroller_reviewed,3,images/02731_1784430196738666_0.jpg,images/02733_1784430226859672_0.jpg,0.99044460
stroller_reviewed_window10_000012,stroller_reviewed,3,images/02732_1784430211797669_0.jpg,images/02733_1784430226859672_0.jpg,0.99004883
stroller_reviewed_window10_000012,stroller_reviewed,3,images/02733_1784430226859672_0.jpg,images/02733_1784430226859672_0.jpg,1.00000000
stroller_reviewed_window10_000013,stroller_reviewed,2,images/02334_1784277099282555_0.jpg,images/02334_1784277099282555_0.jpg,1.00000000
stroller_reviewed_window10_000013,stroller_reviewed,2,images/02335_1784277099360556_0.jpg,images/02334_1784277099282555_0.jpg,0.99957120
stroller_reviewed_window10_000014,stroller_reviewed,2,images/02897_1784442125918909_0.jpg,images/02897_1784442125918909_0.jpg,1.00000000
stroller_reviewed_window10_000014,stroller_reviewed,2,images/02898_1784442126068910_0.jpg,images/02897_1784442125918909_0.jpg,0.99946624
stroller_reviewed_window10_000015,stroller_reviewed,2,images/02318_1784276963146527_0.jpg,images/02318_1784276963146527_0.jpg,1.00000000
stroller_reviewed_window10_000015,stroller_reviewed,2,images/02319_1784276963497528_0.jpg,images/02318_1784276963146527_0.jpg,0.99934608
stroller_reviewed_window10_000016,stroller_reviewed,2,images/02344_1784277189691573_0.jpg,images/02344_1784277189691573_0.jpg,1.00000000
stroller_reviewed_window10_000016,stroller_reviewed,2,images/02345_1784277189929574_0.jpg,images/02344_1784277189691573_0.jpg,0.99932575
stroller_reviewed_window10_000017,stroller_reviewed,2,images/02332_1784277084131552_0.jpg,images/02332_1784277084131552_0.jpg,1.00000000
stroller_reviewed_window10_000017,stroller_reviewed,2,images/02333_1784277084162553_0.jpg,images/02332_1784277084131552_0.jpg,0.99926770
stroller_reviewed_window10_000018,stroller_reviewed,2,images/02895_1784442110752906_0.jpg,images/02895_1784442110752906_0.jpg,1.00000000
stroller_reviewed_window10_000018,stroller_reviewed,2,images/02896_1784442111005908_0.jpg,images/02895_1784442110752906_0.jpg,0.99922246
stroller_reviewed_window10_000019,stroller_reviewed,2,images/02205_1784257617518811_0.jpg,images/02205_1784257617518811_0.jpg,1.00000000
stroller_reviewed_window10_000019,stroller_reviewed,2,images/02206_1784257617635812_0.jpg,images/02205_1784257617518811_0.jpg,0.99905419
stroller_reviewed_window10_000020,stroller_reviewed,2,images/02330_1784277069069549_0.jpg,images/02330_1784277069069549_0.jpg,1.00000000
stroller_reviewed_window10_000020,stroller_reviewed,2,images/02331_1784277069111550_0.jpg,images/02330_1784277069069549_0.jpg,0.99891013
stroller_reviewed_window10_000021,stroller_reviewed,2,images/02478_1784346143879717_0.jpg,images/02478_1784346143879717_0.jpg,1.00000000
stroller_reviewed_window10_000021,stroller_reviewed,2,images/02479_1784346144463718_0.jpg,images/02478_1784346143879717_0.jpg,0.99874014
stroller_reviewed_window10_000022,stroller_reviewed,2,images/02983_1784445312196525_0.jpg,images/02983_1784445312196525_0.jpg,1.00000000
stroller_reviewed_window10_000022,stroller_reviewed,2,images/02984_1784445312248526_0.jpg,images/02983_1784445312196525_0.jpg,0.99865019
stroller_reviewed_window10_000023,stroller_reviewed,2,images/03175_1784451864298831_0.jpg,images/03175_1784451864298831_0.jpg,1.00000000
stroller_reviewed_window10_000023,stroller_reviewed,2,images/03176_1784451864371832_0.jpg,images/03175_1784451864298831_0.jpg,0.99863970
stroller_reviewed_window10_000024,stroller_reviewed,2,images/02985_1784445327249528_0.jpg,images/02985_1784445327249528_0.jpg,1.00000000
stroller_reviewed_window10_000024,stroller_reviewed,2,images/02986_1784445327450529_0.jpg,images/02985_1784445327249528_0.jpg,0.99808204
stroller_reviewed_window10_000025,stroller_reviewed,2,images/02365_1784277355473606_0.jpg,images/02365_1784277355473606_0.jpg,1.00000000
stroller_reviewed_window10_000025,stroller_reviewed,2,images/02366_1784277355825607_0.jpg,images/02365_1784277355473606_0.jpg,0.99798739
stroller_reviewed_window10_000026,stroller_reviewed,2,images/02191_1784254334261180_0.jpg,images/02191_1784254334261180_0.jpg,1.00000000
stroller_reviewed_window10_000026,stroller_reviewed,2,images/02192_1784254334675182_0.jpg,images/02191_1784254334261180_0.jpg,0.99792898
stroller_reviewed_window10_000027,stroller_reviewed,2,images/02218_1784257723245832_0.jpg,images/02218_1784257723245832_0.jpg,1.00000000
stroller_reviewed_window10_000027,stroller_reviewed,2,images/02219_1784257723454833_0.jpg,images/02218_1784257723245832_0.jpg,0.99788064
stroller_reviewed_window10_000028,stroller_reviewed,2,images/04065_1784518193026598_0.jpg,images/04065_1784518193026598_0.jpg,1.00000000
stroller_reviewed_window10_000028,stroller_reviewed,2,images/04066_1784518193227599_0.jpg,images/04065_1784518193026598_0.jpg,0.99787945
stroller_reviewed_window10_000029,stroller_reviewed,2,images/02476_1784345089359525_0.jpg,images/02476_1784345089359525_0.jpg,1.00000000
stroller_reviewed_window10_000029,stroller_reviewed,2,images/02477_1784345089720526_0.jpg,images/02476_1784345089359525_0.jpg,0.99782562
stroller_reviewed_window10_000030,stroller_reviewed,2,images/02890_1784442080490899_0.jpg,images/02890_1784442080490899_0.jpg,1.00000000
stroller_reviewed_window10_000030,stroller_reviewed,2,images/02891_1784442080793900_0.jpg,images/02890_1784442080490899_0.jpg,0.99775386
